City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,qaanaaq,77.484,-69.3632,259.05,91,100,2.37,GL,1667743791
85,frankenburg,48.0684,13.4907,284.05,100,12,4.47,AT,1667743791
86,chapais,49.7834,-74.8492,285.03,72,100,7.95,CA,1667743564
87,mar del plata,-38.0023,-57.5575,296.39,76,0,8.49,AR,1667743500
88,waingapu,-9.6567,120.2641,301.11,77,52,0.57,ID,1667743792
89,lensk,60.7253,114.9278,267.86,94,100,4.33,RU,1667743792
90,aswan,24.0934,32.907,301.64,20,5,3.76,EG,1667743793
91,liverpool,53.4106,-2.9779,284.55,92,40,4.63,GB,1667743793
92,port alfred,-33.5906,26.891,295.47,80,40,3.13,ZA,1667743794
93,yatou,37.15,122.3833,285.94,60,100,5.06,CN,1667743794
94,matara,5.9485,80.5353,298.01,89,100,2.08,LK,1667743795
95,guerrero negro,27.9769,-114.0611,289.54,79,0,4.06,MX,1667743795
96,cabo san lucas,22.8909,-109.9124,295.66,75,0,0.45,MX,1667743795
97,souillac,-20.5167,57.5167,297.27,70,64,4.65,MU,1667743796
98,cape town,-33.9258,18.4232,301.12,56,6,3.13,ZA,1667743797
99,sharlyk,52.9167,54.75,271.95,86,88,3.59,RU,1667743797
100,kodiak,57.79,-152.4072,271.88,51,0,2.06,US,1667743797
101,shu,43.5983,73.7614,284.27,75,100,1.9,KZ,1667743798
102,chokurdakh,70.6333,147.9167,258.87,95,100,5.86,RU,1667743798
103,cileunyi,-6.9389,107.7528,294.63,95,100,0.55,ID,1667743799
104,bubaque,11.2833,-15.8333,301.42,68,2,2.48,GW,1667743799
105,evensk,61.95,159.2333,272.81,81,100,8.56,RU,1667743799
106,tiksi,71.6872,128.8694,257.55,94,100,10.19,RU,1667743800
107,castro,-24.7911,-50.0119,290.16,56,2,3.03,BR,1667743800
108,mitu,1.1983,-70.1733,302.89,57,57,0.37,CO,1667743801
109,tupik,54.4253,119.9327,259.22,91,7,1.69,RU,1667743801
110,kununurra,-15.7667,128.7333,300.14,57,6,1.54,AU,1667743802
111,kovdor,67.5662,30.4758,271.09,94,100,2.27,RU,1667743803
112,puerto narino,-3.7703,-70.3831,299.26,69,100,0.63,CO,1667743803
113,valparaiso,-33.0393,-71.6273,291.48,85,40,5.66,CL,1667743805
114,tura,25.5198,90.2201,292.52,92,1,1.25,IN,1667743806
115,ayan,56.45,138.1667,267.2,57,87,5.16,RU,1667743806
116,norman wells,65.282,-126.8329,260.54,89,99,5.97,CA,1667743807
117,hervey bay,-25.2986,152.8535,293.76,64,2,6.27,AU,1667743807
118,rorvik,64.8621,11.2373,279.21,87,0,1.03,NO,1667743808
119,isangel,-19.55,169.2667,297.55,89,10,2.12,VU,1667743809
120,lebu,-37.6167,-73.65,286.95,75,10,4.18,CL,1667743809
121,ribeira grande,38.5167,-28.7,293.37,77,40,4.63,PT,1667743811
122,nanortalik,60.1432,-45.2371,274.06,92,100,2.87,GL,1667743812
123,paita,-5.0892,-81.1144,292.12,77,17,4.19,PE,1667743812
124,glavanesti,46.25,27.3833,285.79,70,100,5.33,RO,1667743813
125,gat,31.61,34.7642,298.37,100,0,4.53,IL,1667743813
126,sitka,57.0531,-135.33,272.09,40,0,2.06,US,1667743814
127,san matias,-16.3667,-58.4,305.53,26,0,2.15,BO,1667743815
128,hay river,60.8156,-115.7999,261.13,72,75,6.69,CA,1667743815
129,longyearbyen,78.2186,15.6401,275.06,69,75,5.66,SJ,1667743555
130,juneau,58.3019,-134.4197,270.15,100,20,4.63,US,1667743816
131,shache,38.4167,77.2406,283.09,27,45,2.32,CN,1667743817
132,acapulco,16.8634,-99.8901,299.05,89,0,0.0,MX,1667743668
133,king city,36.2127,-121.126,289.21,95,61,1.08,US,1667743620
134,byron bay,-28.65,153.6167,287.99,77,14,2.62,AU,1667743544
135,muros,42.7762,-9.0603,291.56,78,15,5.95,ES,1667743818
136,kirakira,-10.4544,161.9205,299.3,84,96,0.98,SB,1667743819
137,hilo,19.7297,-155.09,296.07,89,20,2.57,US,1667743781
138,kaitangata,-46.2817,169.8464,278.72,92,11,2.52,NZ,1667743820
139,buraydah,26.326,43.975,300.48,16,5,2.7,SA,1667743821
140,indiana,40.0003,-86.2503,284.03,90,0,4.63,US,1667743821
141,meulaboh,4.1363,96.1285,298.76,84,100,1.33,ID,1667743743
142,sakaiminato,35.55,133.2333,286.64,68,75,2.35,JP,1667743822
143,saint-pierre,-21.3393,55.4781,297.97,73,75,3.6,RE,1667743823
144,zyryanka,65.75,150.85,250.98,95,90,2.45,RU,1667743823
145,gushikawa,26.3544,127.8686,294.72,77,20,3.6,JP,1667743824
146,talnakh,69.4865,88.3972,266.83,96,100,3.63,RU,1667743824
147,lorengau,-2.0226,147.2712,300.4,79,100,0.8,PG,1667743825
148,torres,-29.3353,-49.7269,292.5,70,81,2.41,BR,1667743826
149,kangaatsiaq,68.3065,-53.4641,269.6,66,100,5.85,GL,1667743826
150,severo-kurilsk,50.6789,156.125,275.63,73,100,4.91,RU,1667743827
